序号,层级,地区,平台名称,网址,主管部门,来源,抓取日期
1,国家,国家,中国招标投标公共服务平台,www.cebpubservice.com,国家发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
2,省级,北京市,北京市公共资源交易服务平台（全国公共资源交易平台（北京市））,https://ggzyfw.beijing.gov.cn/,北京市发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
3,省级,天津市,天津市公共资源交易网（全国公共资源交易平台（天津市））,60.28.163.169,天津市审批办、天津市发展改革委（域名申请中）,中国招标投标公共服务平台·发布媒介名单,2026-08-11
4,省级,河北省,河北省招标投标公共服务平台,www.hebeieb.com.cn,河北省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
5,省级,山西省,山西省招标投标公共服务平台,www.sxbid.com.cn,山西省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
6,省级,内蒙古,内蒙古自治区公共资源交易网,https://ggzyjy.nmg.gov.cn/,内蒙古自治区发展改革委,中国招标投标公共服务平台·发布媒介名单,2026-08-11
7,省级,辽宁省,辽宁省招标投标监管网,www.lntb.gov.cn,辽宁省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
8,省级,吉林省,吉林省公共资源交易公共服务平台,http://www.jl.gov.cn/ggzy/,吉林省人民政府政务公开协调办公室,中国招标投标公共服务平台·发布媒介名单,2026-08-11
9,省级,黑龙江省,黑龙江省公共资源交易网,https://ggzyjyw.hlj.gov.cn/,黑龙江省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
10,省级,上海市,上海市公共资源交易平台,https://www.shggzy.com/,上海市发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
11,省级,江苏省,江苏省招标投标公共服务平台,www.jszbtb.com,江苏省发展改革委,中国招标投标公共服务平台·发布媒介名单,2026-08-11
12,省级,浙江省,浙江省公共资源交易服务平台,https://ggzy.zj.gov.cn/,浙江省发展和改革委,中国招标投标公共服务平台·发布媒介名单,2026-08-11
13,省级,安徽省,全国公共资源交易平台（安徽省）,https://ggzy.ah.gov.cn,安徽省公共资源交易监督管理办公室,中国招标投标公共服务平台·发布媒介名单,2026-08-11
14,省级,福建省,福建省公共资源交易电子公共服务平台,https://ggzyfw.fujian.gov.cn/index/new,福建省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
15,省级,江西省,江西省公共资源交易网,www.jxsggzy.cn,江西省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
16,省级,山东省,山东省公共资源交易网（全国公共资源交易平台（山东省））,http://ggzyjy.shandong.gov.cn/,山东省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
17,省级,河南省,河南省电子招标投标公共服务平台,http://hndzzbtb.fgw.henan.gov.cn/,河南省发展改革委,中国招标投标公共服务平台·发布媒介名单,2026-08-11
18,省级,湖北省,湖北省公共资源交易电子服务系统（全国公共资源交易平台（湖北省））,www.hbggzyfwpt.cn,湖北省公共资源交易监督管理局,中国招标投标公共服务平台·发布媒介名单,2026-08-11
19,省级,湖南省,湖南省招标投标监管网,http://bidding.fgw.hunan.gov.cn/,湖南省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
20,省级,广东省,广东省招标投标监管网,http://zbtb.gd.gov.cn/login,广东省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
21,省级,广西,广西壮族自治区招标投标公共服务平台,zbtb.gxi.gov.cn:9000/,广西壮族自治区发展改革委,中国招标投标公共服务平台·发布媒介名单,2026-08-11
22,省级,海南省,全国公共资源交易平台（海南省）,https://ggzy.hainan.gov.cn/ggzy,海南省政府政务服务中心,中国招标投标公共服务平台·发布媒介名单,2026-08-11
23,省级,重庆市,重庆市招标投标综合网,https://www.cqggzy.com/,重庆市发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
24,省级,四川省,全国公共资源交易平台（四川省）,ggzyjy.sc.gov.cn,四川省人民政府,中国招标投标公共服务平台·发布媒介名单,2026-08-11
25,省级,贵州省,贵州省招标投标公共服务平台,ztb.guizhou.gov.cn,贵州省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
26,省级,云南省,云南省公共资源交易信息网暨全国公共资源交易平台（云南省）,https://ggzy.yn.gov.cn/homePage,云南省公共资源交易管理局,中国招标投标公共服务平台·发布媒介名单,2026-08-11
27,省级,西藏,西藏自治区公共资源交易网,http://ggzy.xizang.gov.cn,西藏自治区发展改革委,中国招标投标公共服务平台·发布媒介名单,2026-08-11
28,省级,陕西省,陕西采购与招标网,www.sntba.com,陕西省发展和改革委员会,中国招标投标公共服务平台·发布媒介名单,2026-08-11
29,省级,甘肃省,甘肃省电子招投标公共服务平台,ggzyjy.gansu.gov.cn/,甘肃省公共资源交易局,中国招标投标公共服务平台·发布媒介名单,2026-08-11
30,省级,青海省,青海省电子招标投标公共服务平台,https://www.qhdzzbfw.gov.cn/fwpt/,青海省公共资源交易监督管理局,中国招标投标公共服务平台·发布媒介名单,2026-08-11
31,省级,宁夏,宁夏回族自治区公共资源交易网（全国公共资源交易平台（宁夏回族自治区））,https://ggzyjy.fzggw.nx.gov.cn/,宁夏公共资源交易管理局,中国招标投标公共服务平台·发布媒介名单,2026-08-11
